sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
ɯ,-,+,-,-,+,+,œ,0,0.02702702702702703,-0.02702702702702703,+,-,-,+,-,-,rHlfBT,RhlFbt
ɯ,-,+,-,-,+,+,ɒ,0,0,0,+,-,+,-,+,-,rHlfBT,RhLfBt
ɯ,-,+,-,-,+,+,ɐ,0.06896551724137931,0.08108108108108109,-0.01211556383970177,+,-,+,-,-,-,rHlfBT,RhLfbt
ɯ,-,+,-,-,+,+,ʌ,0.1724137931034483,0.1891891891891892,-0.01677539608574091,-,-,-,-,+,-,rHlfBT,rhlfBt
ɔ,+,-,-,-,+,-,a,0.9137055837563453,0.9518072289156626,-0.03810164515931746,-,-,+,-,-,-,RhlfBt,rhLfbt
ɔ,+,-,-,-,+,-,e,0.5076142131979695,0.8995983935742972,-0.3919841803763277,-,-,-,+,-,+,RhlfBt,rhlFbT
ɔ,+,-,-,-,+,-,i,0.9289340101522844,0.9959839357429718,-0.06704992559068756,-,+,-,+,-,+,RhlfBt,rHlFbT
ɔ,+,-,-,-,+,-,o,0.5126903553299492,0.8835341365461847,-0.3708437812162355,+,-,-,-,+,+,RhlfBt,RhlfBT
ɔ,+,-,-,-,+,-,u,0.9238578680203046,0.9839357429718876,-0.06007787495158301,+,+,-,-,+,+,RhlfBt,RHlfBT
ɔ,+,-,-,-,+,-,ə,0.12690355329949238,0.27710843373493976,-0.1502048804354474,-,-,-,-,-,-,RhlfBt,rhlfbt
ɔ,+,-,-,-,+,-,y,0.01522842639593908,0.04417670682730924,-0.02894828043137015,+,+,-,+,-,+,RhlfBt,RHlFbT
ɔ,+,-,-,-,+,-,ɑ,0.04060913705583756,0.06024096385542168,-0.01963182679958412,-,-,+,-,+,-,RhlfBt,rhLfBt
ɔ,+,-,-,-,+,-,ɤ,0.01522842639593908,0.04819277108433735,-0.03296434468839826,-,-,-,-,+,+,RhlfBt,rhlfBT
ɔ,+,-,-,-,+,-,æ,0.04568527918781726,0.08032128514056225,-0.03463600595274499,-,-,+,+,-,-,RhlfBt,rhLFbt
ɔ,+,-,-,-,+,-,ɛ,0.883248730964467,0.8995983935742972,-0.01634966260983017,-,-,-,+,-,-,RhlfBt,rhlFbt
ɔ,+,-,-,-,+,-,ɪ,0.18274111675126903,0.24096385542168677,-0.05822273867041772,-,+,-,+,-,-,RhlfBt,rHlFbt
ɔ,+,-,-,-,+,-,ʊ,0.15228426395939088,0.20883534136546184,-0.05655107740607096,+,+,-,-,+,-,RhlfBt,RHlfBt
ɔ,+,-,-,-,+,-,ɯ,0.07106598984771574,0.07630522088353414,-0.0052392310358184,-,+,-,-,+,+,RhlfBt,rHlfBT
ɔ,+,-,-,-,+,-,ɨ,0.08121827411167512,0.14457831325301204,-0.06336003914133692,-,+,-,-,-,+,RhlfBt,rHlfbT
ɔ,+,-,-,-,+,-,ø,0,0.03614457831325301,-0.03614457831325301,+,-,-,+,-,+,RhlfBt,RhlFbT
ɔ,+,-,-,-,+,-,œ,0.01522842639593908,0.02811244979919678,-0.0128840234032577,+,-,-,+,-,-,RhlfBt,RhlFbt
ɔ,+,-,-,-,+,-,ɒ,0,0.02008032128514056,-0.02008032128514056,+,-,+,-,+,-,RhlfBt,RhLfBt
ɔ,+,-,-,-,+,-,ɐ,0.01522842639593908,0.02811244979919678,-0.0128840234032577,+,-,+,-,-,-,RhlfBt,RhLfbt
ɔ,+,-,-,-,+,-,ʌ,0.05076142131979695,0.05622489959839357,-0.00546347827859661,-,-,-,-,+,-,RhlfBt,rhlfBt
ɨ,-,+,-,-,-,+,a,0.9375,0.9772727272727272,-0.03977272727272729,-,-,+,-,-,-,rHlfbT,rhLfbt
ɨ,-,+,-,-,-,+,e,0.7708333333333334,0.8560606060606061,-0.08522727272727271,-,-,-,+,-,+,rHlfbT,rhlFbT
ɨ,-,+,-,-,-,+,i,0.9895833333333334,1,-0.01041666666666663,-,+,-,+,-,+,rHlfbT,rHlFbT
ɨ,-,+,-,-,-,+,o,0.7604166666666666,0.8409090909090909,-0.08049242424242431,+,-,-,-,+,+,rHlfbT,RhlfBT
ɨ,-,+,-,-,-,+,u,0.8541666666666666,0.8863636363636364,-0.03219696969696972,+,+,-,-,+,+,rHlfbT,RHlfBT
ɨ,-,+,-,-,-,+,ə,0.15625,0.2803030303030303,-0.12405303030303028,-,-,-,-,-,-,rHlfbT,rhlfbt
ɨ,-,+,-,-,-,+,y,0,0.0303030303030303,-0.0303030303030303,+,+,-,+,-,+,rHlfbT,RHlFbT
ɨ,-,+,-,-,-,+,ɑ,0.02083333333333333,0.04545454545454545,-0.02462121212121212,-,-,+,-,+,-,rHlfbT,rhLfBt
ɨ,-,+,-,-,-,+,ɤ,0,0,0,-,-,-,-,+,+,rHlfbT,rhlfBT
ɨ,-,+,-,-,-,+,æ,0.04166666666666666,0.05303030303030303,-0.01136363636363636,-,-,+,+,-,-,rHlfbT,rhLFbt
ɨ,-,+,-,-,-,+,ɛ,0.1875,0.2803030303030303,-0.09280303030303028,-,-,-,+,-,-,rHlfbT,rhlFbt
ɨ,-,+,-,-,-,+,ɪ,0.04166666666666666,0.04545454545454545,-0.00378787878787879,-,+,-,+,-,-,rHlfbT,rHlFbt
ɨ,-,+,-,-,-,+,ʊ,0.02083333333333333,0.01515151515151515,0.00568181818181818,+,+,-,-,+,-,rHlfbT,RHlfBt
ɨ,-,+,-,-,-,+,ɔ,0.16666666666666666,0.2727272727272727,-0.10606060606060604,+,-,-,-,+,-,rHlfbT,RhlfBt
ɨ,-,+,-,-,-,+,ɯ,0.01041666666666666,0.0303030303030303,-0.01988636363636364,-,+,-,-,+,+,rHlfbT,rHlfBT
ɨ,-,+,-,-,-,+,ø,0,0.00757575757575757,-0.00757575757575757,+,-,-,+,-,+,rHlfbT,RhlFbT
ɨ,-,+,-,-,-,+,œ,0,0.00757575757575757,-0.00757575757575757,+,-,-,+,-,-,rHlfbT,RhlFbt
ɨ,-,+,-,-,-,+,ɒ,0,0.02272727272727272,-0.02272727272727272,+,-,+,-,+,-,rHlfbT,RhLfBt
ɨ,-,+,-,-,-,+,ɐ,0,0,0,+,-,+,-,-,-,rHlfbT,RhLfbt
ɨ,-,+,-,-,-,+,ʌ,0.01041666666666666,0.0303030303030303,-0.01988636363636364,-,-,-,-,+,-,rHlfbT,rhlfBt
ʊ,+,+,-,-,+,-,a,0.7142857142857143,0.9393939393939394,-0.22510822510822515,-,-,+,-,-,-,RHlfBt,rhLfbt
ʊ,+,+,-,-,+,-,e,0.5873015873015873,0.9393939393939394,-0.3520923520923521,-,-,-,+,-,+,RHlfBt,rhlFbT
ʊ,+,+,-,-,+,-,i,0.7777777777777778,1,-0.2222222222222222,-,+,-,+,-,+,RHlfBt,rHlFbT
ʊ,+,+,-,-,+,-,o,0.6984126984126984,0.9848484848484848,-0.2864357864357865,+,-,-,-,+,+,RHlfBt,RhlfBT
ʊ,+,+,-,-,+,-,u,0.873015873015873,0.9393939393939394,-0.06637806637806642,+,+,-,-,+,+,RHlfBt,RHlfBT
ʊ,+,+,-,-,+,-,ə,0.2698412698412698,0.2878787878787879,-0.01803751803751807,-,-,-,-,-,-,RHlfBt,rhlfbt
ʊ,+,+,-,-,+,-,y,0,0.01515151515151515,-0.01515151515151515,+,+,-,+,-,+,RHlfBt,RHlFbT
ʊ,+,+,-,-,+,-,ɑ,0.14285714285714285,0.09090909090909093,0.05194805194805194,-,-,+,-,+,-,RHlfBt,rhLfBt
ʊ,+,+,-,-,+,-,ɤ,0,0.01515151515151515,-0.01515151515151515,-,-,-,-,+,+,RHlfBt,rhlfBT
ʊ,+,+,-,-,+,-,æ,0.2698412698412698,0.16666666666666666,0.10317460317460315,-,-,+,+,-,-,RHlfBt,rhLFbt
ʊ,+,+,-,-,+,-,ɛ,0.5238095238095238,0.8181818181818182,-0.2943722943722944,-,-,-,+,-,-,RHlfBt,rhlFbt
ʊ,+,+,-,-,+,-,ɪ,0.9047619047619048,0.9393939393939394,-0.03463203463203468,-,+,-,+,-,-,RHlfBt,rHlFbt
ʊ,+,+,-,-,+,-,ɔ,0.47619047619047616,0.7878787878787878,-0.3116883116883117,+,-,-,-,+,-,RHlfBt,RhlfBt
ʊ,+,+,-,-,+,-,ɯ,0,0.01515151515151515,-0.01515151515151515,-,+,-,-,+,+,RHlfBt,rHlfBT
ʊ,+,+,-,-,+,-,ɨ,0.03174603174603174,0.0303030303030303,0.00144300144300144,-,+,-,-,-,+,RHlfBt,rHlfbT
ʊ,+,+,-,-,+,-,ø,0.01587301587301587,0.0303030303030303,-0.01443001443001443,+,-,-,+,-,+,RHlfBt,RhlFbT
ʊ,+,+,-,-,+,-,œ,0,0.0303030303030303,-0.0303030303030303,+,-,-,+,-,-,RHlfBt,RhlFbt
ʊ,+,+,-,-,+,-,ɒ,0.03174603174603174,0.0303030303030303,0.00144300144300144,+,-,+,-,+,-,RHlfBt,RhLfBt
ʊ,+,+,-,-,+,-,ɐ,0,0.01515151515151515,-0.01515151515151515,+,-,+,-,-,-,RHlfBt,RhLfbt
ʊ,+,+,-,-,+,-,ʌ,0.09523809523809525,0.12121212121212122,-0.02597402597402598,-,-,-,-,+,-,RHlfBt,rhlfBt
ɪ,-,+,-,+,-,-,a,0.7887323943661971,0.9333333333333332,-0.14460093896713622,-,-,+,-,-,-,rHlFbt,rhLfbt
ɪ,-,+,-,+,-,-,e,0.5211267605633803,0.8666666666666667,-0.34553990610328644,-,-,-,+,-,+,rHlFbt,rhlFbT
ɪ,-,+,-,+,-,-,i,0.7605633802816901,0.96,-0.19943661971830984,-,+,-,+,-,+,rHlFbt,rHlFbT
ɪ,-,+,-,+,-,-,o,0.676056338028169,0.96,-0.28394366197183096,+,-,-,-,+,+,rHlFbt,RhlfBT
ɪ,-,+,-,+,-,-,u,0.8169014084507042,0.9066666666666666,-0.08976525821596237,+,+,-,-,+,+,rHlFbt,RHlfBT
ɪ,-,+,-,+,-,-,ə,0.2112676056338028,0.32,-0.1087323943661972,-,-,-,-,-,-,rHlFbt,rhlfbt
ɪ,-,+,-,+,-,-,y,0.01408450704225352,0.04,-0.02591549295774647,+,+,-,+,-,+,rHlFbt,RHlFbT
ɪ,-,+,-,+,-,-,ɑ,0.09859154929577464,0.12,-0.02140845070422535,-,-,+,-,+,-,rHlFbt,rhLfBt
ɪ,-,+,-,+,-,-,ɤ,0,0.01333333333333333,-0.01333333333333333,-,-,-,-,+,+,rHlFbt,rhlfBT
ɪ,-,+,-,+,-,-,æ,0.2112676056338028,0.18666666666666668,0.02460093896713613,-,-,+,+,-,-,rHlFbt,rhLFbt
ɪ,-,+,-,+,-,-,ɛ,0.5352112676056338,0.8,-0.2647887323943663,-,-,-,+,-,-,rHlFbt,rhlFbt
ɪ,-,+,-,+,-,-,ʊ,0.8028169014084507,0.8266666666666667,-0.02384976525821591,+,+,-,-,+,-,rHlFbt,RHlfBt
ɪ,-,+,-,+,-,-,ɔ,0.5070422535211268,0.8,-0.2929577464788733,+,-,-,-,+,-,rHlFbt,RhlfBt
ɪ,-,+,-,+,-,-,ɯ,0.04225352112676056,0.04,0.00225352112676056,-,+,-,-,+,+,rHlFbt,rHlfBT
ɪ,-,+,-,+,-,-,ɨ,0.05633802816901408,0.08,-0.02366197183098591,-,+,-,-,-,+,rHlFbt,rHlfbT
ɪ,-,+,-,+,-,-,ø,0.01408450704225352,0.04,-0.02591549295774647,+,-,-,+,-,+,rHlFbt,RhlFbT
ɪ,-,+,-,+,-,-,œ,0.01408450704225352,0.05333333333333334,-0.03924882629107981,+,-,-,+,-,-,rHlFbt,RhlFbt
ɪ,-,+,-,+,-,-,ɒ,0.02816901408450704,0.02666666666666667,0.00150234741784037,+,-,+,-,+,-,rHlFbt,RhLfBt
ɪ,-,+,-,+,-,-,ɐ,0.01408450704225352,0.02666666666666667,-0.01258215962441314,+,-,+,-,-,-,rHlFbt,RhLfbt
ɪ,-,+,-,+,-,-,ʌ,0.08450704225352113,0.10666666666666667,-0.02215962441314555,-,-,-,-,+,-,rHlFbt,rhlfBt
ə,-,-,-,-,-,-,a,0.7222222222222222,0.950413223140496,-0.2281910009182737,-,-,+,-,-,-,rhlfbt,rhLfbt
ə,-,-,-,-,-,-,e,0.7083333333333334,0.9090909090909092,-0.2007575757575757,-,-,-,+,-,+,rhlfbt,rhlFbT
ə,-,-,-,-,-,-,i,0.8888888888888888,1,-0.11111111111111116,-,+,-,+,-,+,rhlfbt,rHlFbT
ə,-,-,-,-,-,-,o,0.7916666666666666,0.9421487603305784,-0.15048209366391185,+,-,-,-,+,+,rhlfbt,RhlfBT
ə,-,-,-,-,-,-,u,0.8194444444444444,0.9586776859504132,-0.13923324150596883,+,+,-,-,+,+,rhlfbt,RHlfBT
ə,-,-,-,-,-,-,y,0,0.08264462809917356,-0.08264462809917356,+,+,-,+,-,+,rhlfbt,RHlFbT
ə,-,-,-,-,-,-,ɑ,0.18055555555555555,0.1322314049586777,0.04832415059687786,-,-,+,-,+,-,rhlfbt,rhLfBt
ə,-,-,-,-,-,-,ɤ,0,0.00826446280991735,-0.00826446280991735,-,-,-,-,+,+,rhlfbt,rhlfBT
ə,-,-,-,-,-,-,æ,0.1527777777777778,0.15702479338842976,-0.00424701561065196,-,-,+,+,-,-,rhlfbt,rhLFbt
ə,-,-,-,-,-,-,ɛ,0.3333333333333333,0.5950413223140496,-0.2617079889807163,-,-,-,+,-,-,rhlfbt,rhlFbt
ə,-,-,-,-,-,-,ɪ,0.20833333333333337,0.1983471074380165,0.0099862258953168,-,+,-,+,-,-,rhlfbt,rHlFbt
ə,-,-,-,-,-,-,ʊ,0.2361111111111111,0.15702479338842976,0.07908631772268135,+,+,-,-,+,-,rhlfbt,RHlfBt
ə,-,-,-,-,-,-,ɔ,0.3472222222222222,0.5702479338842975,-0.2230257116620753,+,-,-,-,+,-,rhlfbt,RhlfBt
ə,-,-,-,-,-,-,ɯ,0.06944444444444445,0.08264462809917356,-0.0132001836547291,-,+,-,-,+,+,rhlfbt,rHlfBT
ə,-,-,-,-,-,-,ɨ,0.20833333333333337,0.30578512396694213,-0.0974517906336088,-,+,-,-,-,+,rhlfbt,rHlfbT
ə,-,-,-,-,-,-,ø,0,0.04132231404958678,-0.04132231404958678,+,-,-,+,-,+,rhlfbt,RhlFbT
ə,-,-,-,-,-,-,œ,0,0.01652892561983471,-0.01652892561983471,+,-,-,+,-,-,rhlfbt,RhlFbt
ə,-,-,-,-,-,-,ɒ,0.02777777777777777,0.03305785123966942,-0.00528007346189164,+,-,+,-,+,-,rhlfbt,RhLfBt
ə,-,-,-,-,-,-,ɐ,0.01388888888888888,0.03305785123966942,-0.01916896235078053,+,-,+,-,-,-,rhlfbt,RhLfbt
ə,-,-,-,-,-,-,ʌ,0.04166666666666666,0.04958677685950413,-0.00792011019283747,-,-,-,-,+,-,rhlfbt,rhlfBt
ɑ,-,-,+,-,+,-,a,0.2571428571428571,0.4,-0.1428571428571429,-,-,+,-,-,-,rhLfBt,rhLfbt
ɑ,-,-,+,-,+,-,e,0.5428571428571428,0.8285714285714286,-0.2857142857142858,-,-,-,+,-,+,rhLfBt,rhlFbT
ɑ,-,-,+,-,+,-,i,0.7714285714285715,1,-0.22857142857142856,-,+,-,+,-,+,rhLfBt,rHlFbT
ɑ,-,-,+,-,+,-,o,0.6857142857142857,0.8571428571428571,-0.17142857142857135,+,-,-,-,+,+,rhLfBt,RhlfBT
ɑ,-,-,+,-,+,-,u,0.6857142857142857,0.9714285714285714,-0.2857142857142857,+,+,-,-,+,+,rhLfBt,RHlfBT
ɑ,-,-,+,-,+,-,ə,0.37142857142857144,0.45714285714285713,-0.08571428571428569,-,-,-,-,-,-,rhLfBt,rhlfbt
ɑ,-,-,+,-,+,-,y,0.05714285714285714,0.17142857142857143,-0.1142857142857143,+,+,-,+,-,+,rhLfBt,RHlFbT
ɑ,-,-,+,-,+,-,ɤ,0.02857142857142857,0.05714285714285714,-0.02857142857142857,-,-,-,-,+,+,rhLfBt,rhlfBT
ɑ,-,-,+,-,+,-,æ,0.34285714285714286,0.2857142857142857,0.05714285714285716,-,-,+,+,-,-,rhLfBt,rhLFbt
ɑ,-,-,+,-,+,-,ɛ,0.3142857142857143,0.45714285714285713,-0.14285714285714285,-,-,-,+,-,-,rhLfBt,rhlFbt
ɑ,-,-,+,-,+,-,ɪ,0.2,0.2571428571428571,-0.0571428571428571,-,+,-,+,-,-,rhLfBt,rHlFbt
ɑ,-,-,+,-,+,-,ʊ,0.2571428571428571,0.17142857142857143,0.08571428571428569,+,+,-,-,+,-,rhLfBt,RHlfBt
ɑ,-,-,+,-,+,-,ɔ,0.22857142857142856,0.42857142857142855,-0.2,+,-,-,-,+,-,rhLfBt,RhlfBt
ɑ,-,-,+,-,+,-,ɯ,0.02857142857142857,0.11428571428571428,-0.08571428571428572,-,+,-,-,+,+,rhLfBt,rHlfBT
ɑ,-,-,+,-,+,-,ɨ,0.05714285714285714,0.17142857142857143,-0.1142857142857143,-,+,-,-,-,+,rhLfBt,rHlfbT
ɑ,-,-,+,-,+,-,ø,0,0.11428571428571428,-0.11428571428571428,+,-,-,+,-,+,rhLfBt,RhlFbT
ɑ,-,-,+,-,+,-,œ,0.02857142857142857,0.08571428571428572,-0.05714285714285715,+,-,-,+,-,-,rhLfBt,RhlFbt
ɑ,-,-,+,-,+,-,ɒ,0,0,0,+,-,+,-,+,-,rhLfBt,RhLfBt
ɑ,-,-,+,-,+,-,ɐ,0,0.05714285714285714,-0.05714285714285714,+,-,+,-,-,-,rhLfBt,RhLfbt
ɑ,-,-,+,-,+,-,ʌ,0.02857142857142857,0.05714285714285714,-0.02857142857142857,-,-,-,-,+,-,rhLfBt,rhlfBt
ɛ,-,-,-,+,-,-,a,0.8947368421052632,0.9433962264150944,-0.04865938430983119,-,-,+,-,-,-,rhlFbt,rhLfbt
ɛ,-,-,-,+,-,-,e,0.430622009569378,0.8188679245283019,-0.3882459149589239,-,-,-,+,-,+,rhlFbt,rhlFbT
ɛ,-,-,-,+,-,-,i,0.8899521531100478,0.9962264150943396,-0.1062742619842918,-,+,-,+,-,+,rhlFbt,rHlFbT
ɛ,-,-,-,+,-,-,o,0.5358851674641149,0.8943396226415095,-0.3584544551773946,+,-,-,-,+,+,rhlFbt,RhlfBT
ɛ,-,-,-,+,-,-,u,0.861244019138756,0.9509433962264152,-0.08969937708765907,+,+,-,-,+,+,rhlFbt,RHlfBT
ɛ,-,-,-,+,-,-,ə,0.11483253588516748,0.27169811320754716,-0.1568655773223797,-,-,-,-,-,-,rhlFbt,rhlfbt
ɛ,-,-,-,+,-,-,y,0.02392344497607655,0.05660377358490566,-0.03268032860882911,+,+,-,+,-,+,rhlFbt,RHlFbT
ɛ,-,-,-,+,-,-,ɑ,0.05263157894736842,0.06037735849056604,-0.00774577954319762,-,-,+,-,+,-,rhlFbt,rhLfBt
ɛ,-,-,-,+,-,-,ɤ,0.01435406698564593,0.04528301886792452,-0.03092895188227859,-,-,-,-,+,+,rhlFbt,rhlfBT
ɛ,-,-,-,+,-,-,æ,0.01435406698564593,0.06792452830188679,-0.05357046131624086,-,-,+,+,-,-,rhlFbt,rhLFbt
ɛ,-,-,-,+,-,-,ɪ,0.18181818181818185,0.22641509433962265,-0.04459691252144082,-,+,-,+,-,-,rhlFbt,rHlFbt
ɛ,-,-,-,+,-,-,ʊ,0.15789473684210523,0.2037735849056604,-0.04587884806355513,+,+,-,-,+,-,rhlFbt,RHlfBt
ɛ,-,-,-,+,-,-,ɔ,0.8325358851674641,0.8452830188679246,-0.01274713370046043,+,-,-,-,+,-,rhlFbt,RhlfBt
ɛ,-,-,-,+,-,-,ɯ,0.05741626794258373,0.0830188679245283,-0.02560259998194456,-,+,-,-,+,+,rhlFbt,rHlfBT
ɛ,-,-,-,+,-,-,ɨ,0.0861244019138756,0.13962264150943396,-0.05349823959555835,-,+,-,-,-,+,rhlFbt,rHlfbT
ɛ,-,-,-,+,-,-,ø,0.01435406698564593,0.04150943396226415,-0.02715536697661821,+,-,-,+,-,+,rhlFbt,RhlFbT
ɛ,-,-,-,+,-,-,œ,0.01435406698564593,0.03773584905660377,-0.02338178207095784,+,-,-,+,-,-,rhlFbt,RhlFbt
ɛ,-,-,-,+,-,-,ɒ,0.00478468899521531,0.02264150943396226,-0.01785682043874695,+,-,+,-,+,-,rhlFbt,RhLfBt
ɛ,-,-,-,+,-,-,ɐ,0.01435406698564593,0.02264150943396226,-0.00828744244831633,+,-,+,-,-,-,rhlFbt,RhLfbt
ɛ,-,-,-,+,-,-,ʌ,0.05741626794258373,0.06037735849056604,-0.0029610905479823,-,-,-,-,+,-,rhlFbt,rhlfBt
ɒ,+,-,+,-,+,-,a,0.6,0.9,-0.30000000000000004,-,-,+,-,-,-,RhLfBt,rhLfbt
ɒ,+,-,+,-,+,-,e,0.8,0.8,0,-,-,-,+,-,+,RhLfBt,rhlFbT
ɒ,+,-,+,-,+,-,i,0.6,1,-0.4,-,+,-,+,-,+,RhLfBt,rHlFbT
ɒ,+,-,+,-,+,-,o,0.8,1,-0.19999999999999996,+,-,-,-,+,+,RhLfBt,RhlfBT
ɒ,+,-,+,-,+,-,u,0.4,0.9,-0.5,+,+,-,-,+,+,RhLfBt,RHlfBT
ɒ,+,-,+,-,+,-,ə,0.4,0.4,0,-,-,-,-,-,-,RhLfBt,rhlfbt
ɒ,+,-,+,-,+,-,y,0,0.2,-0.2,+,+,-,+,-,+,RhLfBt,RHlFbT
ɒ,+,-,+,-,+,-,ɑ,0,0,0,-,-,+,-,+,-,RhLfBt,rhLfBt
ɒ,+,-,+,-,+,-,ɤ,0,0,0,-,-,-,-,+,+,RhLfBt,rhlfBT
ɒ,+,-,+,-,+,-,æ,0.4,0.3,0.10000000000000003,-,-,+,+,-,-,RhLfBt,rhLFbt
ɒ,+,-,+,-,+,-,ɛ,0.2,0.6,-0.4,-,-,-,+,-,-,RhLfBt,rhlFbt
ɒ,+,-,+,-,+,-,ɪ,0.4,0.2,0.2,-,+,-,+,-,-,RhLfBt,rHlFbt
ɒ,+,-,+,-,+,-,ʊ,0.4,0.2,0.2,+,+,-,-,+,-,RhLfBt,RHlfBt
ɒ,+,-,+,-,+,-,ɔ,0,0.5,-0.5,+,-,-,-,+,-,RhLfBt,RhlfBt
ɒ,+,-,+,-,+,-,ɯ,0,0,0,-,+,-,-,+,+,RhLfBt,rHlfBT
ɒ,+,-,+,-,+,-,ɨ,0,0.3,-0.3,-,+,-,-,-,+,RhLfBt,rHlfbT
ɒ,+,-,+,-,+,-,ø,0.2,0.2,0,+,-,-,+,-,+,RhLfBt,RhlFbT
ɒ,+,-,+,-,+,-,œ,0.2,0.1,0.1,+,-,-,+,-,-,RhLfBt,RhlFbt
ɒ,+,-,+,-,+,-,ɐ,0,0,0,+,-,+,-,-,-,RhLfBt,RhLfbt
ɒ,+,-,+,-,+,-,ʌ,0,0,0,-,-,-,-,+,-,RhLfBt,rhlfBt
ɐ,+,-,+,-,-,-,a,0.5,0.75,-0.25,-,-,+,-,-,-,RhLfbt,rhLfbt
ɐ,+,-,+,-,-,-,e,0.6666666666666666,0.75,-0.08333333333333337,-,-,-,+,-,+,RhLfbt,rhlFbT
ɐ,+,-,+,-,-,-,i,0.8333333333333334,0.875,-0.04166666666666663,-,+,-,+,-,+,RhLfbt,rHlFbT
ɐ,+,-,+,-,-,-,o,0.6666666666666666,0.875,-0.20833333333333337,+,-,-,-,+,+,RhLfbt,RhlfBT
ɐ,+,-,+,-,-,-,u,0.6666666666666666,0.875,-0.20833333333333337,+,+,-,-,+,+,RhLfbt,RHlfBT
ɐ,+,-,+,-,-,-,ə,0.16666666666666666,0.5,-0.33333333333333337,-,-,-,-,-,-,RhLfbt,rhlfbt
ɐ,+,-,+,-,-,-,y,0.16666666666666666,0.25,-0.08333333333333334,+,+,-,+,-,+,RhLfbt,RHlFbT
ɐ,+,-,+,-,-,-,ɑ,0,0.25,-0.25,-,-,+,-,+,-,RhLfbt,rhLfBt
ɐ,+,-,+,-,-,-,ɤ,0.16666666666666666,0.125,0.04166666666666666,-,-,-,-,+,+,RhLfbt,rhlfBT
ɐ,+,-,+,-,-,-,æ,0,0.25,-0.25,-,-,+,+,-,-,RhLfbt,rhLFbt
ɐ,+,-,+,-,-,-,ɛ,0.5,0.75,-0.25,-,-,-,+,-,-,RhLfbt,rhlFbt
ɐ,+,-,+,-,-,-,ɪ,0.16666666666666666,0.25,-0.08333333333333334,-,+,-,+,-,-,RhLfbt,rHlFbt
ɐ,+,-,+,-,-,-,ʊ,0,0.125,-0.125,+,+,-,-,+,-,RhLfbt,RHlfBt
ɐ,+,-,+,-,-,-,ɔ,0.5,0.875,-0.375,+,-,-,-,+,-,RhLfbt,RhlfBt
ɐ,+,-,+,-,-,-,ɯ,0.3333333333333333,0.375,-0.04166666666666668,-,+,-,-,+,+,RhLfbt,rHlfBT
ɐ,+,-,+,-,-,-,ɨ,0,0,0,-,+,-,-,-,+,RhLfbt,rHlfbT
ɐ,+,-,+,-,-,-,ø,0,0.125,-0.125,+,-,-,+,-,+,RhLfbt,RhlFbT
ɐ,+,-,+,-,-,-,œ,0.16666666666666666,0.125,0.04166666666666666,+,-,-,+,-,-,RhLfbt,RhlFbt
ɐ,+,-,+,-,-,-,ɒ,0,0,0,+,-,+,-,+,-,RhLfbt,RhLfBt
ɐ,+,-,+,-,-,-,ʌ,0,0,0,-,-,-,-,+,-,RhLfbt,rhlfBt
ʌ,-,-,-,-,+,-,a,0.9444444444444444,0.8461538461538461,0.09829059829059827,-,-,+,-,-,-,rhlfBt,rhLfbt
ʌ,-,-,-,-,+,-,e,0.6666666666666666,0.8846153846153846,-0.21794871794871795,-,-,-,+,-,+,rhlfBt,rhlFbT
ʌ,-,-,-,-,+,-,i,1,1,0,-,+,-,+,-,+,rhlfBt,rHlFbT
ʌ,-,-,-,-,+,-,o,0.6666666666666666,0.9230769230769232,-0.2564102564102565,+,-,-,-,+,+,rhlfBt,RhlfBT
ʌ,-,-,-,-,+,-,u,1,1,0,+,+,-,-,+,+,rhlfBt,RHlfBT
ʌ,-,-,-,-,+,-,ə,0.16666666666666666,0.2307692307692308,-0.06410256410256412,-,-,-,-,-,-,rhlfBt,rhlfbt
ʌ,-,-,-,-,+,-,y,0,0,0,+,+,-,+,-,+,rhlfBt,RHlFbT
ʌ,-,-,-,-,+,-,ɑ,0.05555555555555555,0.07692307692307693,-0.02136752136752137,-,-,+,-,+,-,rhlfBt,rhLfBt
ʌ,-,-,-,-,+,-,ɤ,0.05555555555555555,0.15384615384615383,-0.0982905982905983,-,-,-,-,+,+,rhlfBt,rhlfBT
ʌ,-,-,-,-,+,-,æ,0.05555555555555555,0.15384615384615383,-0.0982905982905983,-,-,+,+,-,-,rhlfBt,rhLFbt
ʌ,-,-,-,-,+,-,ɛ,0.6666666666666666,0.6153846153846154,0.05128205128205121,-,-,-,+,-,-,rhlfBt,rhlFbt
ʌ,-,-,-,-,+,-,ɪ,0.3333333333333333,0.3076923076923077,0.0256410256410256,-,+,-,+,-,-,rhlfBt,rHlFbt
ʌ,-,-,-,-,+,-,ʊ,0.3333333333333333,0.3076923076923077,0.0256410256410256,+,+,-,-,+,-,rhlfBt,RHlfBt
ʌ,-,-,-,-,+,-,ɔ,0.5555555555555556,0.5384615384615384,0.01709401709401714,+,-,-,-,+,-,rhlfBt,RhlfBt
ʌ,-,-,-,-,+,-,ɯ,0.2777777777777778,0.2692307692307692,0.00854700854700857,-,+,-,-,+,+,rhlfBt,rHlfBT
ʌ,-,-,-,-,+,-,ɨ,0.05555555555555555,0.15384615384615383,-0.0982905982905983,-,+,-,-,-,+,rhlfBt,rHlfbT
