sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
e,-,-,-,+,-,+,ɐ,0.01374570446735395,0.01376146788990825,-1.5763422554306017e-5,+,-,+,-,-,-,rhlFbT,RhLfbt
e,-,-,-,+,-,+,ʌ,0.04123711340206185,0.05275229357798165,-0.0115151801759198,-,-,-,-,+,-,rhlFbT,rhlfBt
i,-,+,-,+,-,+,a,0.9011494252873564,0.9438877755511024,-0.04273835026374595,-,-,+,-,-,-,rHlFbT,rhLfbt
i,-,+,-,+,-,+,e,0.6344827586206897,0.87374749498998,-0.23926473636929024,-,-,-,+,-,+,rHlFbT,rhlFbT
i,-,+,-,+,-,+,o,0.6666666666666666,0.8917835671342685,-0.2251169004676019,+,-,-,-,+,+,rHlFbT,RhlfBT
i,-,+,-,+,-,+,u,0.8827586206896552,0.9298597194388778,-0.04710109874922263,+,+,-,-,+,+,rHlFbT,RHlfBT
i,-,+,-,+,-,+,ə,0.1471264367816092,0.24248496993987975,-0.09535853315827056,-,-,-,-,-,-,rHlFbT,rhlfbt
i,-,+,-,+,-,+,y,0.02068965517241379,0.04809619238476954,-0.02740653721235574,+,+,-,+,-,+,rHlFbT,RHlFbT
i,-,+,-,+,-,+,ɑ,0.06206896551724138,0.07014028056112225,-0.00807131504388086,-,-,+,-,+,-,rHlFbT,rhLfBt
i,-,+,-,+,-,+,ɤ,0.01839080459770115,0.03807615230460922,-0.01968534770690807,-,-,-,-,+,+,rHlFbT,rhlfBT
i,-,+,-,+,-,+,æ,0.06206896551724138,0.08216432865731463,-0.02009536314007325,-,-,+,+,-,-,rHlFbT,rhLFbt
i,-,+,-,+,-,+,ɛ,0.42758620689655175,0.5290581162324649,-0.10147190933591316,-,-,-,+,-,-,rHlFbT,rhlFbt
i,-,+,-,+,-,+,ɪ,0.12413793103448276,0.14428857715430862,-0.02015064611982586,-,+,-,+,-,-,rHlFbT,rHlFbt
